,Event,Price,From,To,DateFormat,TokenID
0,Offer,"0,25",385CD6,,2021-12-09,1.0
1,Minted,,NullAddress,JCPieri,2021-12-07,1.0
2,List,"0,3",Montagu,,2021-12-12,2.0
3,List,"0,3",Montagu,,2021-12-09,2.0
4,List,"0,5",Montagu,,2021-12-08,2.0
5,List,1,Montagu,,2021-12-08,2.0
6,Minted,,NullAddress,Montagu,2021-12-07,2.0
7,Minted,,NullAddress,DBB9E9,2021-12-07,3.0
8,Minted,,NullAddress,298EB7,2021-12-07,4.0
9,Transfer,,385CD6,The_Grand_Duke,2021-12-08,5.0
10,Minted,,NullAddress,385CD6,2021-12-07,5.0
11,Minted,,NullAddress,7025DF,2021-12-07,6.0
12,Minted,,NullAddress,Lazzher,2021-12-07,7.0
13,Minted,,NullAddress,NFTbaguette,2021-12-07,8.0
14,Minted,,NullAddress,CryptoGroup,2021-12-07,9.0
15,Minted,,NullAddress,le_moods,2021-12-07,10.0
16,Minted,,NullAddress,ZelNFT,2021-12-07,11.0
17,Minted,,NullAddress,Shauw,2021-12-07,12.0
18,Minted,,NullAddress,814577,2021-12-07,13.0
19,Minted,,NullAddress,442FA4,2021-12-07,14.0
20,Minted,,NullAddress,8F72EC,2021-12-07,15.0
21,Minted,,NullAddress,Ant1-83,2021-12-07,16.0
22,Minted,,NullAddress,1F30F9,2021-12-07,17.0
23,Minted,,NullAddress,Dr_Sly_,2021-12-07,18.0
24,Transfer,,EB3F32,A697F6,2021-12-11,19.0
25,Minted,,NullAddress,EB3F32,2021-12-07,19.0
26,Minted,,NullAddress,C2D5ED,2021-12-07,20.0
27,Minted,,NullAddress,GrandpaCed,2021-12-07,21.0
28,Minted,,NullAddress,pianoking,2021-12-07,22.0
29,Minted,,NullAddress,3AFF17,2021-12-07,23.0
30,Minted,,NullAddress,49D2F3,2021-12-07,24.0
31,Minted,,NullAddress,26ED5E,2021-12-07,25.0
32,Minted,,NullAddress,Selelolz,2021-12-07,26.0
33,Minted,,NullAddress,A6FA33,2021-12-07,27.0
34,Minted,,NullAddress,daedalium,2021-12-07,28.0
35,Minted,,NullAddress,AAFCAE,2021-12-07,29.0
36,Minted,,NullAddress,beyondyourdreams,2021-12-07,30.0
37,List,"0,19",Concordeparis,,2021-12-11,31.0
38,Minted,,NullAddress,Concordeparis,2021-12-07,31.0
39,Minted,,NullAddress,NicolasDaumas,2021-12-07,32.0
40,Minted,,NullAddress,C77E6F,2021-12-07,33.0
41,Minted,,NullAddress,DBB9E9,2021-12-07,34.0
42,Minted,,NullAddress,298EB7,2021-12-07,35.0
43,Transfer,,385CD6,The_Grand_Duke,2021-12-08,36.0
44,Minted,,NullAddress,385CD6,2021-12-07,36.0
45,Minted,,NullAddress,7025DF,2021-12-07,37.0
46,Minted,,NullAddress,Lazzher,2021-12-07,38.0
47,Minted,,NullAddress,NFTbaguette,2021-12-07,39.0
48,Minted,,NullAddress,CryptoGroup,2021-12-07,40.0
49,Minted,,NullAddress,le_moods,2021-12-07,41.0
50,Minted,,NullAddress,ZelNFT,2021-12-07,42.0
51,List,"0,49",aymericbdb,,2021-12-08,43.0
52,Minted,,NullAddress,aymericbdb,2021-12-07,43.0
53,Minted,,NullAddress,814577,2021-12-07,44.0
54,Minted,,NullAddress,442FA4,2021-12-07,45.0
55,Minted,,NullAddress,8F72EC,2021-12-07,46.0
56,Minted,,NullAddress,michellechoi,2021-12-07,47.0
57,Minted,,NullAddress,08A886,2021-12-07,48.0
58,Minted,,NullAddress,Hanane,2021-12-07,49.0
59,Transfer,,EB3F32,A697F6,2021-12-11,50.0
60,Minted,,NullAddress,EB3F32,2021-12-07,50.0
61,Minted,,NullAddress,56EB80,2021-12-07,51.0
62,List,"0,4",GrandpaCed,,2021-12-13,52.0
63,Minted,,NullAddress,GrandpaCed,2021-12-07,52.0
64,Minted,,NullAddress,pianoking,2021-12-07,53.0
65,Minted,,NullAddress,3AFF17,2021-12-07,54.0
66,Minted,,NullAddress,49D2F3,2021-12-07,55.0
67,Sale,"0,3799",randomlcad,E55A09,2021-12-08,56.0
68,Transfer,,randomlcad,E55A09,2021-12-08,56.0
69,List,"0,3799",randomlcad,,2021-12-08,56.0
70,List,"0,389",randomlcad,,2021-12-08,56.0
71,List,"0,4",randomlcad,,2021-12-07,56.0
72,Minted,,NullAddress,randomlcad,2021-12-07,56.0
73,Minted,,NullAddress,42D240,2021-12-07,57.0
74,Minted,,NullAddress,Overrated_artist,2021-12-07,58.0
75,Minted,,NullAddress,daedalium,2021-12-07,59.0
76,Minted,,NullAddress,MaxGirth,2021-12-07,60.0
77,Minted,,NullAddress,beyondyourdreams,2021-12-07,61.0
78,Transfer,,Concordeparis,The_Last_Wizard,2021-12-11,62.0
79,Sale,"0,19",Concordeparis,The_Last_Wizard,2021-12-11,62.0
80,List,"0,19",Concordeparis,,2021-12-11,62.0
81,Minted,,NullAddress,Concordeparis,2021-12-07,62.0
82,Minted,,NullAddress,1566F5,2021-12-07,63.0
83,Minted,,NullAddress,C77E6F,2021-12-07,64.0
84,Minted,,NullAddress,DBB9E9,2021-12-07,65.0
